time = 20150812-193516; ObjectID = 16779264; name = BRDM-2; country = 0; Lat = 44.721412; Long = 37.624212; Alt = 94.247595; Hdg = 0.856078; type = 2.17.26.10
time = 20150812-193516; ObjectID = 16779776; name = outpost_road; country = 2; Lat = 44.718653; Long = 37.647538; Alt = 79.086159; Hdg = 3.839742; type = 2.17.26.96
time = 20150812-193516; ObjectID = 16780288; name = Hummer; country = 2; Lat = 44.718751; Long = 37.647521; Alt = 79.144386; Hdg = 3.779569; type = 2.17.25.14
time = 20150812-193517; ObjectID = 16780800; name = Soldier M4; country = 2; Lat = 44.718526; Long = 37.647496; Alt = 78.980316; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193517; ObjectID = 16781312; name = M-2 Bradley; country = 2; Lat = 44.735857; Long = 37.665974; Alt = 109.065834; Hdg = 3.513753; type = 2.17.104.7
time = 20150812-193517; ObjectID = 16781824; name = M1134 Stryker ATGM; country = 2; Lat = 44.736427; Long = 37.666263; Alt = 107.479988; Hdg = 6.202414; type = 2.17.104.80
time = 20150812-193517; ObjectID = 16782336; name = A-10C; country = 2; Lat = 44.673562; Long = 37.786036; Alt = 42.280863; Hdg = 3.875525; type = 1.1.6.58
time = 20150812-193517; ObjectID = 16777472; name = Su-25; country = 0; Lat = 44.642034; Long = 37.620947; Alt = 148.808344; Hdg = 6.045366; type = 1.1.6.16
time = 20150812-193517; ObjectID = 16777984; name = BRDM-2; country = 0; Lat = 44.705892; Long = 37.638043; Alt = 89.707672; Hdg = 5.876459; type = 2.17.26.10
time = 20150812-193517; ObjectID = 16778496; name = BMP-1; country = 0; Lat = 44.705831; Long = 37.637937; Alt = 89.929196; Hdg = 1.019018; type = 2.17.104.7
time = 20150812-193517; ObjectID = 16779008; name = BTR-80; country = 0; Lat = 44.721802; Long = 37.623774; Alt = 95.167710; Hdg = 0.694693; type = 2.17.26.10
time = 20150812-193517; ObjectID = 16779520; name = OH-58D; country = 2; Lat = 44.733948; Long = 37.706595; Alt = 243.567405; Hdg = 4.607136; type = 1.2.6.168
time = 20150812-193517; ObjectID = 16780032; name = M-113; country = 2; Lat = 44.718532; Long = 37.647594; Alt = 79.031036; Hdg = 3.839742; type = 2.17.26.10
time = 20150812-193517; ObjectID = 16780544; name = Hummer; country = 2; Lat = 44.718897; Long = 37.647551; Alt = 79.179253; Hdg = 5.340707; type = 2.17.25.14
time = 20150812-193517; ObjectID = 16781056; name = Soldier M249; country = 2; Lat = 44.718623; Long = 37.647334; Alt = 78.968727; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193517; ObjectID = 16781568; name = M1045 HMMWV TOW; country = 2; Lat = 44.736144; Long = 37.666060; Alt = 108.330881; Hdg = 0.133114; type = 2.17.104.14
time = 20150812-193517; ObjectID = 16782080; name = M1134 Stryker ATGM; country = 2; Lat = 44.736648; Long = 37.666452; Alt = 108.141089; Hdg = 6.025298; type = 2.17.104.80
time = 20150812-193517; ObjectID = 16777728; name = BMP-1; country = 0; Lat = 44.705817; Long = 37.637563; Alt = 86.383857; Hdg = 4.876001; type = 2.17.104.7
time = 20150812-193517; ObjectID = 16778240; name = BRDM-2; country = 0; Lat = 44.705901; Long = 37.637839; Alt = 87.582082; Hdg = 4.563042; type = 2.17.26.10
time = 20150812-193517; ObjectID = 16778752; name = BMP-3; country = 0; Lat = 44.722159; Long = 37.623187; Alt = 95.733788; Hdg = 1.720419; type = 2.17.104.7
time = 20150812-193517; ObjectID = 16779264; name = BRDM-2; country = 0; Lat = 44.721432; Long = 37.624237; Alt = 94.363229; Hdg = 0.496024; type = 2.17.26.10
time = 20150812-193517; ObjectID = 16779776; name = outpost_road; country = 2; Lat = 44.718653; Long = 37.647538; Alt = 79.086159; Hdg = 3.839742; type = 2.17.26.96
time = 20150812-193517; ObjectID = 16780288; name = Hummer; country = 2; Lat = 44.718751; Long = 37.647521; Alt = 79.144386; Hdg = 3.779569; type = 2.17.25.14
